교시,과목,문제번호,최종답안
1교시,보건의약관계법규,1,4
1교시,보건의약관계법규,2,1
1교시,보건의약관계법규,3,3
1교시,보건의약관계법규,4,2
1교시,보건의약관계법규,5,1
1교시,보건의약관계법규,6,4
1교시,보건의약관계법규,7,5
1교시,보건의약관계법규,8,1
1교시,보건의약관계법규,9,2
1교시,보건의약관계법규,10,5
1교시,보건의약관계법규,11,5
1교시,보건의약관계법규,12,4
1교시,보건의약관계법규,13,5
1교시,보건의약관계법규,14,3
1교시,보건의약관계법규,15,3
1교시,보건의약관계법규,16,2
1교시,보건의약관계법규,17,3
1교시,보건의약관계법규,18,1
1교시,보건의약관계법규,19,4
1교시,보건의약관계법규,20,5
1교시,의학총론,21,3
1교시,의학총론,22,2
1교시,의학총론,23,4
1교시,의학총론,24,3
1교시,의학총론,25,1
1교시,의학총론,26,2
1교시,의학총론,27,1
1교시,의학총론,28,5
1교시,의학총론,29,3
1교시,의학총론,30,3
1교시,의학총론,31,2
1교시,의학총론,32,멀티미디어 문제(비공개)
1교시,의학총론,33,멀티미디어 문제(비공개)
1교시,의학총론,34,5
1교시,의학총론,35,3
1교시,의학총론,36,4
1교시,의학총론,37,5
1교시,의학총론,38,2
1교시,의학총론,39,4
1교시,의학총론,40,1
1교시,의학총론,41,4
1교시,의학총론,42,1
1교시,의학총론,43,2
1교시,의학총론,44,4
1교시,의학총론,45,4
1교시,의학총론,46,5
1교시,의학총론,47,1
1교시,의학총론,48,5
1교시,의학총론,49,3
1교시,의학총론,50,3
1교시,의학총론,51,5
1교시,의학총론,52,1
1교시,의학총론,53,5
1교시,의학총론,54,2
1교시,의학총론,55,1
1교시,의학총론,56,2
1교시,의학총론,57,4
1교시,의학총론,58,3
1교시,의학총론,59,3
1교시,의학총론,60,1
1교시,의학총론,61,4
1교시,의학총론,62,2
1교시,의학총론,63,3
1교시,의학총론,64,2
1교시,의학총론,65,2
1교시,의학총론,66,3
1교시,의학총론,67,4
1교시,의학총론,68,4
1교시,의학총론,69,4
1교시,의학총론,70,1
1교시,의학총론,71,2
1교시,의학총론,72,4
1교시,의학총론,73,5
1교시,의학총론,74,3
1교시,의학총론,75,4
1교시,의학총론,76,5
1교시,의학총론,77,5
1교시,의학총론,78,4
1교시,의학총론,79,5
1교시,의학총론,80,5
2교시,의학각론1,1,4
2교시,의학각론1,2,5
2교시,의학각론1,3,4
2교시,의학각론1,4,2
2교시,의학각론1,5,1
2교시,의학각론1,6,3
2교시,의학각론1,7,4
2교시,의학각론1,8,3
2교시,의학각론1,9,4
2교시,의학각론1,10,5
2교시,의학각론1,11,4
2교시,의학각론1,12,5
2교시,의학각론1,13,1
2교시,의학각론1,14,3
2교시,의학각론1,15,2
2교시,의학각론1,16,4
2교시,의학각론1,17,2
2교시,의학각론1,18,4
2교시,의학각론1,19,4
2교시,의학각론1,20,4
2교시,의학각론1,21,1
2교시,의학각론1,22,2
2교시,의학각론1,23,4
2교시,의학각론1,24,5
2교시,의학각론1,25,5
2교시,의학각론1,26,4
2교시,의학각론1,27,4
2교시,의학각론1,28,5
2교시,의학각론1,29,4
2교시,의학각론1,30,2
2교시,의학각론1,31,3
2교시,의학각론1,32,2
2교시,의학각론1,33,4
2교시,의학각론1,34,4
2교시,의학각론1,35,1
2교시,의학각론1,36,5
2교시,의학각론1,37,4
2교시,의학각론1,38,3
2교시,의학각론1,39,2
2교시,의학각론1,40,1
2교시,의학각론1,41,3
2교시,의학각론1,42,5
2교시,의학각론1,43,4
2교시,의학각론1,44,4
2교시,의학각론1,45,4
2교시,의학각론1,46,5
2교시,의학각론1,47,2
2교시,의학각론1,48,3
2교시,의학각론1,49,3
2교시,의학각론1,50,4
2교시,의학각론1,51,1
2교시,의학각론1,52,5
2교시,의학각론1,53,3
2교시,의학각론1,54,2
2교시,의학각론1,55,5
2교시,의학각론1,56,5
2교시,의학각론1,57,1
2교시,의학각론1,58,2
2교시,의학각론1,59,1
2교시,의학각론1,60,멀티미디어 문제(비공개)
2교시,의학각론1,61,멀티미디어 문제(비공개)
2교시,의학각론1,62,멀티미디어 문제(비공개)
2교시,의학각론1,63,4
2교시,의학각론1,64,1
2교시,의학각론1,65,5
2교시,의학각론1,66,5
2교시,의학각론1,67,4
2교시,의학각론1,68,5
2교시,의학각론1,69,2
2교시,의학각론1,70,5
2교시,의학각론1,71,4
2교시,의학각론1,72,3
2교시,의학각론1,73,2
2교시,의학각론1,74,5
2교시,의학각론1,75,2
2교시,의학각론1,76,4
2교시,의학각론1,77,2
2교시,의학각론1,78,2
2교시,의학각론1,79,2
2교시,의학각론1,80,3
3교시,의학각론2,1,2
3교시,의학각론2,2,1
3교시,의학각론2,3,4
3교시,의학각론2,4,3
3교시,의학각론2,5,멀티미디어 문제(비공개)
3교시,의학각론2,6,3
3교시,의학각론2,7,1
3교시,의학각론2,8,3
3교시,의학각론2,9,5
3교시,의학각론2,10,5
3교시,의학각론2,11,5
3교시,의학각론2,12,1
3교시,의학각론2,13,5
3교시,의학각론2,14,2
3교시,의학각론2,15,3
3교시,의학각론2,16,3
3교시,의학각론2,17,1
3교시,의학각론2,18,5
3교시,의학각론2,19,4
3교시,의학각론2,20,4
3교시,의학각론2,21,1
3교시,의학각론2,22,5
3교시,의학각론2,23,2
3교시,의학각론2,24,5
3교시,의학각론2,25,2
3교시,의학각론2,26,1
3교시,의학각론2,27,3
3교시,의학각론2,28,3
3교시,의학각론2,29,1
3교시,의학각론2,30,1
3교시,의학각론2,31,2
3교시,의학각론2,32,3
3교시,의학각론2,33,3
3교시,의학각론2,34,2
3교시,의학각론2,35,3
3교시,의학각론2,36,1
3교시,의학각론2,37,2
3교시,의학각론2,38,5
3교시,의학각론2,39,5
3교시,의학각론2,40,3
3교시,의학각론2,41,5
3교시,의학각론2,42,멀티미디어 문제(비공개)
3교시,의학각론2,43,1
3교시,의학각론2,44,1
3교시,의학각론2,45,1
3교시,의학각론2,46,5
3교시,의학각론2,47,3
3교시,의학각론2,48,5
3교시,의학각론2,49,2
3교시,의학각론2,50,3
3교시,의학각론2,51,4
3교시,의학각론2,52,5
3교시,의학각론2,53,5
3교시,의학각론2,54,2
3교시,의학각론2,55,4
3교시,의학각론2,56,3
3교시,의학각론2,57,2
3교시,의학각론2,58,3
3교시,의학각론2,59,3
3교시,의학각론2,60,2
3교시,의학각론2,61,2
3교시,의학각론2,62,3
3교시,의학각론2,63,3
3교시,의학각론2,64,5
3교시,의학각론2,65,5
3교시,의학각론2,66,1
3교시,의학각론2,67,1
3교시,의학각론2,68,2
3교시,의학각론2,69,4
3교시,의학각론2,70,5
3교시,의학각론2,71,2
3교시,의학각론2,72,5
3교시,의학각론2,73,멀티미디어 문제(비공개)
3교시,의학각론2,74,2
3교시,의학각론2,75,4
3교시,의학각론2,76,1
3교시,의학각론2,77,4
3교시,의학각론2,78,5
3교시,의학각론2,79,1
3교시,의학각론2,80,2
4교시,의학각론3,1,1
4교시,의학각론3,2,1
4교시,의학각론3,3,1
4교시,의학각론3,4,3
4교시,의학각론3,5,4
4교시,의학각론3,6,1
4교시,의학각론3,7,5
4교시,의학각론3,8,3
4교시,의학각론3,9,5
4교시,의학각론3,10,3
4교시,의학각론3,11,1
4교시,의학각론3,12,3
4교시,의학각론3,13,5
4교시,의학각론3,14,1
4교시,의학각론3,15,4
4교시,의학각론3,16,4
4교시,의학각론3,17,2
4교시,의학각론3,18,2
4교시,의학각론3,19,1
4교시,의학각론3,20,1
4교시,의학각론3,21,5
4교시,의학각론3,22,3
4교시,의학각론3,23,4
4교시,의학각론3,24,5
4교시,의학각론3,25,2
4교시,의학각론3,26,1
4교시,의학각론3,27,3
4교시,의학각론3,28,5
4교시,의학각론3,29,4
4교시,의학각론3,30,4
4교시,의학각론3,31,4
4교시,의학각론3,32,5
4교시,의학각론3,33,3
4교시,의학각론3,34,1
4교시,의학각론3,35,5
4교시,의학각론3,36,5
4교시,의학각론3,37,4
4교시,의학각론3,38,5
4교시,의학각론3,39,5
4교시,의학각론3,40,3
4교시,의학각론3,41,1
4교시,의학각론3,42,5
4교시,의학각론3,43,1
4교시,의학각론3,44,4
4교시,의학각론3,45,4
4교시,의학각론3,46,3
4교시,의학각론3,47,3
4교시,의학각론3,48,4
4교시,의학각론3,49,4
4교시,의학각론3,50,5
4교시,의학각론3,51,1
4교시,의학각론3,52,1
4교시,의학각론3,53,3
4교시,의학각론3,54,1
4교시,의학각론3,55,5
4교시,의학각론3,56,5
4교시,의학각론3,57,1
4교시,의학각론3,58,3
4교시,의학각론3,59,3
4교시,의학각론3,60,3
4교시,의학각론3,61,1
4교시,의학각론3,62,3
4교시,의학각론3,63,1
4교시,의학각론3,64,4
4교시,의학각론3,65,5
4교시,의학각론3,66,5
4교시,의학각론3,67,2
4교시,의학각론3,68,5
4교시,의학각론3,69,5
4교시,의학각론3,70,3
4교시,의학각론3,71,2
4교시,의학각론3,72,2
4교시,의학각론3,73,1
4교시,의학각론3,74,1
4교시,의학각론3,75,3
4교시,의학각론3,76,1
4교시,의학각론3,77,1
4교시,의학각론3,78,1
4교시,의학각론3,79,1
4교시,의학각론3,80,멀티미디어 문제(비공개)
